Test,Animal,Treatment,Sex,APOE,Code,Stage,Trial,Apparatus,Object1 : head entries,Object1 : head time,Object1_Day2_3_5: RI,Object1 : latency to first entry,Object1 : time mobile,Object1 : time immobile,Object1 : in zone oriented to centre,Object1 : time freezing,Object2 : head entries,Object2 : head time,Object2_Day2_3_5.RI,Object2 : latency to first entry,Object2 : time mobile,Object2 : time immobile,Object2 : in zone oriented to centre,Object2 : time freezing,Outerzone : head entries,Outerzone : head time,Outerzone : distance,Outerzone : latency to first entry,Outerzone : average speed,Outerzone : time mobile,Outerzone : time immobile,Total_Time_Mobile,Outerzone : time freezing,Centerzone : head entries,Centerzone : head time,Centerzone : distance,Centerzone : latency to first entry,Centerzone : average speed,Centerzone : time mobile,Centerzone : time immobile,Centerzone : time freezing,Object 3 : head entries,Object 3 : head time,Object 3 : latency to first entry,Object 3 : in zone oriented to centre,Object 4 : head entries,Object4.headtime,Object 4 : latency to first entry,Object 4 : in zone oriented to centre,Object1Center : head time oriented towards,Object2Center : head time oriented towards,Total_Distance_Mobile,Total Time Freezing
39,061019_9,APOE4/4F,F,APOE4/4,B,Dilutions,3,2Objects_NOR,7,4.7,0.6025641026,1.1,4.7,0,3.2,0,7,3.1,0.3974358974,2.5,3.1,0,1.2,0,31,50,2.885,4,0.057,50.7,0,67.2,2.2,25,24.6,1.204,0,0.065,16.5,2,0,4,3,50.7,0,20,22.3,35.8,0.1,18.8,17.9,4.089,2.2
40,061019_10,APOE4/4F,F,APOE4/4,B,Dilutions,3,2Objects_NOR,5,6.8,0.3930635838,25.9,6.8,0,2.9,0,8,10.5,0.6069364162,18.9,10.5,0,8.1,0,15,43.7,2.95,0,0.062,45,2.2,81.4,1.5,16,46.7,2.072,3.6,0.057,36.4,0,0,6,11.6,48.3,0,7,14.1,14.3,0,25,23.3,5.022,1.5
41,061019_1,APOE4/4M,M,APOE4/4,A,Dilutions,4,2Objects_NOR,0,0,0,,0,0,0,0,1,0.5,1,1.1,0.5,0,0.5,0,2,115.6,1.317,4.5,0.011,14.6,100.7,17.9,48.9,1,3.1,0.152,0,0.047,3.3,0,0,0,0,,0,0,0,,0,45.9,46.7,1.469,48.9
42,061019_2,APOE4/4M,M,APOE4/4,A,Dilutions,4,2Objects_NOR,0,0,,,0,0,0,0,0,0,,,0,0,0,0,12,111.3,0.991,4.9,0.009,12.1,102.9,13.9,68.2,1,1.8,0.039,0,0.022,1.8,0,0,0,0,,0,0,0,,0,54.3,46.9,1.03,68.2
43,061019_3,APOE4/4M,M,APOE4/4,A,Dilutions,4,2Objects_NOR,0,0,,,0,0,0,0,0,0,,,0,0,0,0,2,117.6,0.387,1.8,0.003,6.4,111.2,7.8,81.1,2,0.6,0.076,0,0.056,1.4,0,0,0,0,,0,1,0.6,,0,0,0,0.463,81.1
44,061019_4,APOE4/4M,M,APOE4/4,A,Dilutions,4,2Objects_NOR,0,0,,,0,0,0,0,0,0,,,0,0,0,0,8,115.1,3.458,2.3,0.029,46.4,71.1,48.3,22.4,1,2.2,0.126,0,0.065,1.9,0,0,0,0,,0,0,0,,0,9.7,8.5,3.584,22.4
45,061019_5,APOE4/4M,M,APOE4/4,A,Dilutions,4,2Objects_NOR,1,1.3,0.1666666667,99.3,1.3,0,0.5,0,3,6.5,0.8333333333,0,3.4,3.1,1.8,0,20,83.5,2.2,7.3,0.022,32.3,69.5,36.1,39,8,9,0.152,0,0.022,3.8,3.2,0,2,2.3,,0,1,0.7,,0,50.4,51.2,2.352,39
46,061019_6,APOE4/4F,F,APOE4/4,B,Dilutions,4,2Objects_NOR,2,1.8,0.6206896552,22.3,1.8,0,0.7,0,1,1.1,0.3793103448,51,1.1,0,0,0,25,86.4,4.655,0,0.051,58.1,33.1,59.7,6.2,8,6.8,0.122,50.5,0.077,1.6,0,0,3,2.9,80.3,0,3,5.4,73.2,0,18,14.4,4.777,6.2
47,061019_7,APOE4/4F,F,APOE4/4,B,Dilutions,4,2Objects_NOR,10,19.3,0.7845528455,28.5,11.4,7.9,4.1,1.9,2,5.3,0.2154471545,72.1,0.4,4.9,3.5,1.3,10,54.9,2.578,1.1,0.045,35.2,22.4,54.6,6.7,12,27.3,0.614,0,0.028,19.4,2.9,1.8,3,9,66.4,0.3,5,9.2,48.2,0.1,19.4,18,3.192,8.5
48,061019_8,APOE4/4F,F,APOE4/4,B,Dilutions,4,2Objects_NOR,1,1.3,1,61.6,1.3,0,0.3,0,0,0,0,,0,0,0,0,12,109.6,3.371,0.9,0.029,42.8,71.7,43.5,29.4,3,2.4,0.06,0,0.083,0.7,0,0,1,1.9,,0,0,0,,0,24.6,24.8,3.431,29.4
49,061019_9,APOE4/4F,F,APOE4/4,B,Dilutions,4,2Objects_NOR,4,2.9,0.2660550459,2.4,2.9,0,1.8,0,3,8,0.7339449541,76.2,3.6,4.4,3.8,1.6,20,79.9,1.844,3.5,0.022,38.8,44.7,44.8,17,15,12.5,0.236,0,0.039,6,0,0,3,4.2,19.8,0,5,2.8,,0,24.5,20.1,2.08,17
50,061019_10,APOE4/4F,F,APOE4/4,B,Dilutions,4,2Objects_NOR,4,9.9,0.8761061947,100,1.1,8.8,5.4,4.5,2,1.4,0.1238938053,59.9,1.4,0,0.7,0,18,70.4,2.078,0.8,0.026,40.9,40.5,47.4,17.3,12,12,0.309,0,0.047,6.5,0,0,2,6.1,93.1,0.2,4,5.8,15.8,0.3,35,34.2,2.387,17.3
51,061019_1,APOE4/4M,M,APOE4/4,A,Dilutions,5,2Objects_NOR,0,0,0,,0,0,0,0,1,0.7,1,0,0.7,0,0.4,0,19,78.3,2.071,3.1,0.018,34.5,78.3,36.6,43.9,1,1.4,0.115,0,0.056,2.1,0,0,0,0,,0,1,0.1,2.1,0,27.9,22.3,2.186,43.9
52,061019_2,APOE4/4M,M,APOE4/4,A,Dilutions,5,2Objects_NOR,0,0,,,0,0,0,0,0,0,,,0,0,0,0,1,116.3,0.266,0.9,0.002,5.3,112.5,6.2,81.9,1,3.7,0.261,0,0.294,0.9,0,0,0,0,,0,0,0,,0,66.6,67.9,0.527,81.9
53,061019_3,APOE4/4M,M,APOE4/4,A,Dilutions,5,2Objects_NOR,6,10.6,0.768115942,17.8,5.2,5.4,2.9,0,2,3.2,0.231884058,50.7,3.2,0,1.1,0,11,77.5,2.018,0.4,0.026,37.4,40.8,43,10.9,11,15.5,0.328,45.6,0.059,5.6,0,0,2,1.5,73.3,0,5,9.5,45,0,28.2,30.2,2.346,10.9
54,061019_4,APOE4/4M,M,APOE4/4,A,Dilutions,5,2Objects_NOR,2,1.3,0.52,95.2,1.3,0,0.8,0,1,1.2,0.48,103.7,1.2,0,0,0,13,100.5,2.177,2.2,0.021,21.2,83.4,28.2,43.8,7,9.3,0.553,0,0.079,7,0,0,3,2.8,,0,2,1.6,100.3,0,22.6,30.1,2.73,43.8
55,061019_5,APOE4/4M,M,APOE4/4,A,Dilutions,5,2Objects_NOR,3,2.8,0.8,30.9,2.8,0,1.8,0,1,0.7,0.2,38.4,0.7,0,0,0,21,83.5,2.083,5.9,0.021,35,62.8,39.1,23.6,5,7.9,0.514,0,0.067,4.1,3.6,0,0,0,,0,1,1.8,102.6,0,15.1,26.8,2.597,23.6
56,061019_6,APOE4/4F,F,APOE4/4,B,Dilutions,5,2Objects_NOR,3,1,0.7692307692,0,1,0,0.5,0,1,0.3,0.2307692308,1,0.3,0,0.3,0,12,107.4,4.026,2.6,0.035,52.3,63.8,54.3,35,1,1.8,0.122,0,0.06,2,0,0,0,0,,0,0,0,,0,21.2,15.7,4.148,35
57,061019_7,APOE4/4F,F,APOE4/4,B,Dilutions,5,2Objects_NOR,3,12.1,0.968,14.8,2.7,9.4,6.9,0,1,0.4,0.032,20.7,0.4,0,0,0,9,65.6,0.729,0.9,0.01,13.2,57.6,20.3,29,9,29.1,0.33,0,0.022,7.1,7.9,0,4,3.2,13.6,0,4,16.4,99.2,0,27.8,21.5,1.059,29
58,061019_8,APOE4/4F,F,APOE4/4,B,Dilutions,5,2Objects_NOR,3,6.5,0.9701492537,0,6.5,0,3.7,0,1,0.2,0.0298507463,1.9,0.2,0,0.2,0,5,107.3,3.102,2.9,0.029,46.8,60.8,55.8,37.4,4,10.2,0.338,0,0.038,9,0,0,0,0,,0,1,1.2,,0,5.5,3.8,3.44,37.4
59,061019_9,APOE4/4F,F,APOE4/4,B,Dilutions,5,2Objects_NOR,3,4.1,0.9318181818,0.6,1.6,2.5,2.5,0,1,0.3,0.0681818182,39.4,0.3,0,0.2,0,13,90.7,1.607,2.6,0.016,35,68.5,35.9,41.7,8,2.9,0.032,0,0.036,0.9,0,0,1,0.3,,0,2,4,22.6,0,10.7,18.4,1.639,41.7
60,061019_10,APOE4/4F,F,APOE4/4,B,Dilutions,5,2Objects_NOR,2,5.9,0.9365079365,94.2,0.4,5.5,0.2,2.8,1,0.4,0.0634920635,77.8,0.4,0,0,0,16,93,3.385,0.4,0.033,63.3,40.5,65.1,17.8,5,5.1,0.261,77.8,0.148,1.8,0,0,1,0.6,,0,1,0.9,,0,19.1,17.3,3.646,17.8
61,061019_1,APOE4/4M,M,APOE4/4,A,Day2_IdenticalObject,1,2Objects_NOR,2,5.8,0.3431952663,31.8,3.5,2.3,2.4,0,5,11.1,0.6568047337,14.6,11.1,0,1.8,0,8,91.6,1.573,2.7,0.017,22.7,68.2,31.5,25.5,8,16.5,0.329,14.3,0.037,8.8,0,1.1,3,1.3,2,0,1,1.2,14.1,0,8.2,7.7,1.902,26.6
62,061019_2,APOE4/4M,M,APOE4/4,A,Day2_IdenticalObject,1,2Objects_NOR,5,8.5,0.6390977444,11.8,8.5,0,2.8,0,5,4.8,0.3609022556,14.7,4.8,0,2.6,0,10,85.5,3.5,1.9,0.042,43.8,39.9,59.2,17.3,8,21.3,1.141,0,0.074,15.4,0,0,4,2.4,17.6,0,5,2.9,0.6,0,25.5,20.7,4.641,17.3
63,061019_1,APOE4/4M,M,APOE4/4,A,Day2_IdenticalObject,2,2Objects_NOR,2,8,1,93.3,5.8,2.2,4.8,0,0,0,0,,0,0,0,0,7,93.4,1.203,1.7,0.012,24.7,76.9,27.4,32.5,6,5.6,0.229,0,0.085,2.7,0,0,0,0,,0,2,0.7,1.1,0,22.1,14.3,1.432,32.5
64,061019_2,APOE4/4M,M,APOE4/4,A,Day2_IdenticalObject,2,2Objects_NOR,1,0.9,1,74.8,0.9,0,0.9,0,0,0,0,,0,0,0,0,18,106.1,1.25,0.8,0.011,21.2,94.2,22.4,55.5,2,0.5,0.076,0,0.063,1.2,0,0,0,0,,0,2,1,69.2,0,37.5,57.8,1.326,55.5
65,061019_1,APOE4/4M,M,APOE4/4,A,Day2_IdenticalObject,3,2Objects_NOR,4,10,0.7575757576,100.4,4,6,3,1.1,2,3.2,0.2424242424,89.2,3.2,0,2,0,13,61.8,2.332,0,0.025,44.4,48,50.6,21.8,4,13.9,0.286,97.8,0.025,6.2,5.3,0,4,10,101.1,0,2,3.2,,0,47.1,42.8,2.618,21.8
66,061019_2,APOE4/4M,M,APOE4/4,A,Day2_IdenticalObject,3,2Objects_NOR,6,10.4,0.3586206897,57.9,9.2,1.2,3.7,0,10,18.6,0.6413793103,0,11,7.7,3.8,0,19,71.3,2.98,1.7,0.041,48.9,23,64.6,5.7,16,22.4,1.06,0,0.048,15.7,6.4,0,6,10.4,82.2,0.1,10,18.6,49.2,0,18.4,18.1,4.04,5.7
67,061019_1,APOE4/4M,M,APOE4/4,A,Day2_ShortTermMemory,4,2Objects_NOR,1,3.8,0.4222222222,76.8,3.8,0,0.6,0,3,5.2,0.5777777778,11.3,5.2,0,2.7,0,13,103.8,2.286,0,0.021,24.8,83.3,28.3,49.6,5,4,0.231,79.5,0.066,3.5,0,0,1,3.8,79.1,0,3,5.2,85.5,0,20.8,21.8,2.517,49.6
68,061019_2,APOE4/4M,M,APOE4/4,A,Day2_ShortTermMemory,4,2Objects_NOR,4,8.3,0.5608108108,65.9,8.3,0,2.2,0,8,6.5,0.4391891892,64.2,6.5,0,2.7,0,14,80.6,1.597,1.2,0.018,22.9,66,44.3,27.9,10,22.3,1.204,0,0.056,21.4,0,0,4,8.3,86.5,0,8,6.5,79.1,0.3,34.9,22.9,2.801,27.9
69,061019_3,APOE4/4M,M,APOE4/4,A,Day2_IdenticalObject,1,2Objects_NOR,3,4.7,0.358778626,2.8,4.7,0,2.2,0,5,8.4,0.641221374,8.7,8.4,0,1.8,0,19,77.4,1.764,1.1,0.018,27.1,69.8,35.8,34.5,13,10.6,0.684,0,0.079,8.7,0,0,2,1,0.6,0,1,0.8,28.2,0,54.6,54.6,2.448,34.5
